Epoch,Training Set Accuracy, Generalization Set Accuracy,Training Set MSE, Generalization Set MSE
1800,87.5083,87.325,0.00730869,0.0207277
1805,87.5083,87.325,0.00729983,0.0207303
1810,87.5167,87.325,0.00729099,0.020733
1815,87.5417,87.375,0.00728221,0.0207356
1820,87.525,87.325,0.00727351,0.0207384
1825,87.575,87.325,0.0072649,0.0207414
1830,87.5667,87.3,0.00725641,0.0207446
1835,87.6333,87.3,0.00724804,0.0207481
1840,87.65,87.35,0.0072398,0.0207519
1845,87.6833,87.325,0.00723169,0.0207559
1850,87.7083,87.325,0.0072237,0.0207603
1855,87.7417,87.325,0.00721584,0.0207648
1860,87.7417,87.325,0.00720811,0.0207696
1865,87.7833,87.3,0.00720049,0.0207746
1870,87.7833,87.375,0.007193,0.0207796
1875,87.775,87.375,0.00718562,0.0207847
1880,87.825,87.375,0.00717836,0.0207898
1885,87.8083,87.375,0.00717123,0.0207947
1890,87.8333,87.425,0.00716422,0.0207995
1895,87.8167,87.45,0.00715735,0.020804
1900,87.8167,87.475,0.00715062,0.0208082
1905,87.825,87.525,0.00714404,0.020812
1910,87.8583,87.575,0.00713761,0.0208153
1915,87.875,87.6,0.00713134,0.0208181
1920,87.85,87.6,0.00712522,0.0208204
1925,87.8167,87.625,0.00711926,0.020822
1930,87.8583,87.7,0.00711343,0.0208231
1935,87.8583,87.725,0.00710774,0.0208236
1940,87.8833,87.725,0.00710218,0.0208236
1945,87.8917,87.725,0.00709672,0.020823
1950,87.9083,87.725,0.00709135,0.020822
1955,87.9,87.75,0.00708608,0.0208206
1960,87.9583,87.725,0.00708088,0.0208188
1965,87.9917,87.75,0.00707575,0.0208168
1970,88,87.75,0.00707069,0.0208145
1975,88.025,87.75,0.00706568,0.020812
1980,88.0333,87.775,0.00706073,0.0208094
1985,88.0583,87.75,0.00705582,0.0208068
1990,88.05,87.75,0.00705095,0.020804
1995,88.0667,87.75,0.00704613,0.0208013
2000,88.0583,87.775,0.00704135,0.0207985
2005,88.0583,87.775,0.00703661,0.0207957
2010,88.0917,87.775,0.00703192,0.0207929
2015,88.1083,87.8,0.00702726,0.0207902
2020,88.1333,87.825,0.00702265,0.0207875
2025,88.1333,87.825,0.00701809,0.0207849
2030,88.1333,87.875,0.00701357,0.0207823
2035,88.1667,87.875,0.00700909,0.0207799
2040,88.15,87.875,0.00700467,0.0207775
2045,88.1833,87.85,0.00700029,0.0207753
2050,88.1833,87.85,0.00699596,0.0207732
2055,88.2,87.85,0.00699167,0.0207713
2060,88.2167,87.9,0.00698744,0.0207695
2065,88.2333,87.875,0.00698326,0.020768
2070,88.2167,87.85,0.00697913,0.0207668
2075,88.225,87.825,0.00697507,0.0207658
2080,88.1917,87.825,0.00697107,0.0207651
2085,88.1917,87.875,0.00696714,0.0207649
2090,88.1833,87.85,0.00696329,0.020765
2095,88.225,87.85,0.00695953,0.0207655
2100,88.2333,87.9,0.00695587,0.0207666
2105,88.2167,87.9,0.0069523,0.0207681
2110,88.225,87.85,0.00694884,0.0207702
2115,88.2083,87.85,0.00694548,0.0207727
2120,88.2417,87.85,0.00694222,0.0207758
2125,88.2333,87.875,0.00693905,0.0207793
2130,88.2417,87.9,0.00693596,0.0207832
2135,88.2417,87.925,0.00693292,0.0207875
2140,88.2417,87.975,0.00692993,0.020792
2145,88.2583,88,0.00692695,0.0207968
2150,88.3,87.975,0.00692398,0.0208016
2155,88.2917,88.025,0.006921,0.0208065
2160,88.3083,88.025,0.006918,0.0208113
2165,88.35,88.075,0.00691498,0.0208161
2170,88.325,88.075,0.00691194,0.0208206
2175,88.35,88.075,0.00690888,0.0208249
2180,88.3833,88.075,0.00690582,0.0208289
2185,88.3917,88.1,0.00690277,0.0208326
2190,88.4,88.1,0.00689972,0.0208359
2195,88.4083,88.075,0.00689669,0.0208388
2200,88.4333,88.075,0.00689369,0.0208414
2205,88.4333,88.05,0.00689072,0.0208437
2210,88.45,88.05,0.00688779,0.0208456
